What,Where,When,How_Much
Elevkoncert med sang.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sun 10 December 2017, 8 pm.",(Free admission)
Sissel Kyrkjebø - Sissels Jul - Ekstra koncert.,"Operaen, Ekvipagemestervej 10, Copenhagen K","Mon 11 December 2017, 5.30 pm.","(Entrance fee: 450,00 dkk - 550,00 dkk)"
Händels Messias - et rum for julefreden.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Mon 11 December 2017, 7.30 pm.",(Entrance fee: 160-200 DKK. (halv pris for studerende eller unge under 26))
Danmarks Underholdningsorkester Julekoncert 2017.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Mon 11 December 2017, 7.30 pm.",(Entrance fee: 225)
Claudius korets julekoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Mon 11 December 2017, 7.30 pm.",(Free admission)
Händels Messias.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Mon 11 December 2017, 7.30 pm.","(Entrance fee: 105,00 dkk - 225,00 dkk)"
Julekoncert med Kammerkoret Nye Toner.,"Christians Kirke, Strandgade 1, Copenhagen K","Mon 11 December 2017, 7.30 pm  - 8.30 pm.",
Claudiuskorets julekoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Mon 11 December 2017, 7.30 pm  - 9 pm.",
Kom og dans eller spil med i Brøndby Spillemandslaug og Dansere.,"Brøndby Spillemandslaug og Dansere, Møllesalen, Brøndby Møllevej 25, Brøndby","Mon 11 December 2017, 7.30 pm  - 10 pm.",
Koncert med Ydunkoret.,"Sorgenfri Kirke og Sognegård, Hummeltoften 1, Virum","Mon 11 December 2017, 7.30 pm  - 11.45 pm.",
Juleoratoriet anno 2017 af Thomas Agerfeldt Olesen.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Mon 11 December 2017, 8 pm.","(Entrance fee: 175,-/pen./stud. 75,-)"
Kelela (us).,"Pumpehuset, Studiestræde 52, Copenhagen V","Mon 11 December 2017, 8 pm.",
Marc E. Bassy (US).,"VEGA, Enghavevej 40, Copenhagen V","Mon 11 December 2017, 8 pm.","(Entrance fee: 175,00 DKK)"
Piano Night v. Esben Just m. 9 (NI!!!) pianister.,"Bartof Station, Solbjergvej 3, Frederiksberg","Mon 11 December 2017, 8 pm.",(Entrance fee)
Julekoncert med Kammerkoret Audite.,"Lutherkirken, Randersgade 3, Copenhagen Ø","Mon 11 December 2017, 8 pm.",(Entrance fee: 50 DKK)
King Size Big Band m. Laura Olivia Dollerup (vokal) Dir. Thomas Stolting.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Mon 11 December 2017, 8 pm  - 11 pm.",(Entrance fee: 100 DKK)
Monday Juke Joint.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Mon 11 December 2017, 9.30 pm.",(Free admission)
Julesyngsammen for de mindste.,"Avedøre Bibliotek, Hovedstien 14, Hvidovre","Tues 12 December 2017, 10.30 am  - 11 am.",(Free admission)
Frederiksberg GameLAB - bibliotekets brætspilsklub.,"Biblioteket Danasvej, Danasvej 30 B, Frederiksberg C","Tues 12 December 2017, 4 pm.",(Entrance fee: Gratis billetter)
Julemusik på Kilden.,"Kulturhuset Kilden, Nygårds Plads 31, Brøndby","Tues 12 December 2017, 4.30 pm.",(Free admission)
Mød de klassiske stjernefrø: Jeanine Markley.,"Hovedbiblioteket - Undervisningslokalet, Falkoner Plads 3, Frederiksberg","Tues 12 December 2017, 5 pm.",(Entrance fee: Gratis billetter)
Kurt Ravn - Årets Julekoncert 2017.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Tues 12 December 2017, 5 pm  & 8 pm.","(Entrance fee: 215,00 DKK)"
Luciakoncert med Det Danske Pigekor.,"Gentofte Kirke, Gentoftegade 21, Gentofte","Tues 12 December 2017, 5 pm  - 6 pm.",
Kurt Ravns Julekoncert.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Tues 12 December 2017, 5 pm  - 6 pm  & 8 pm  - 9 pm.",
Julekoncert Panumkoret.,"Grøndalslund Kirke og Sognegård, Tårnvej 350, Rødovre","Tues 12 December 2017, 6 pm  - 10 pm.",
Julekoncerterne Sjællandske Kor & Vokal Ensembler.,"Metronomen, Godthåbsvej 33, Frederiksberg","Tues 12 December 2017, 7.30 pm.",
Julekoncerten 2017 - Marie Carmen Koppel | Gammelgaard.,"Gammelgaard Kunst- og Kulturcenter, Gammel Klausdalsbrovej 436, Herlev","Tues 12 December 2017, 7.30 pm.",(Entrance fee: 100 DKK.)
Julekoncert med Kammerkoret Carmina.,"Christians Kirke, Strandgade 1, Copenhagen K","Tues 12 December 2017, 7.30 pm  - 8.30 pm.",
Vocal Frostbite.,"Sankt Jakobs Kirke, Østerbrogade 59, Copenhagen Ø","Tues 12 December 2017, 7.30 pm  - 8.30 pm.",
Julekoncert med Lyngby Kammerkor.,"Christianskirken, Christian X's Allé 122, Kongens Lyngby","Tues 12 December 2017, 7.30 pm  - 8.33 pm.",
Julekoncert med Synkoperne.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Tues 12 December 2017, 7.30 pm  - 9.30 pm.",(Free admission)
Koncert med Strygerne fra Hvidovre Musikskole.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Tues 12 December 2017, 7.30 pm  - 9.30 pm.",
Julebal i Spillemandsdansen. Vi spiller op på Lindegaarden.,"Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby","Tues 12 December 2017, 7.30 pm  - 9.45 pm.",(Free admission)
Julekoncert med Stengård kirkes Pigekor.,"Stengård Kirke, Triumfvej 2, Kongens Lyngby","Tues 12 December 2017, 7.30 pm  - 10 pm.",
Iamddb (uk).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 12 December 2017, 8 pm.","(Entrance fee: 165,00 DKK)"
Club Klondyke.,"Templet, Jernbanevej 16, Kongens Lyngby","Tues 12 December 2017, 8 pm.",(Entrance fee)
Händels Messias.,"Dyssegårdskirken, Dyssegårdsvej 19, Hellerup","Tues 12 December 2017, 8 pm  - 9 pm.",
Open mic for RBU.,"Huset KBH Musikcaféen, Rådhusstræde 13, 3. sal, Copenhagen K","Tues 12 December 2017, 8 pm  - 10.30 pm.",(Entrance fee: 25 DKK)
Kjeld Lauritsen trio feat. Live Foyn Friis.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Tues 12 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)
Luciaoptog.,"Frederiksberg Centret, Falkoner Allé 21, Frederiksberg","Wed 13 December 2017, 4.30 pm.",(Free admission)
Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"Bartof Station, Solbjergvej 3, Frederiksberg","Wed 13 December 2017, 4.30 pm.",(Entrance fee)
Julekoncert med Simeons Kirkes børnekor.,"Simeons Kirke, Sjællandsgade 12, Copenhagen N","Wed 13 December 2017, 5 pm  - 7 pm.",
Børnekorenes Julekoncert.,"Nygårdskirken, Brøndby Nord Vej 71, Brøndby","Wed 13 December 2017, 5.30 pm  - 6.30 pm.",
Julekoncerter 2017 / Concerto Copenhagen.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Wed 13 December 2017, 6 pm.",(Entrance fee: (Entré: DKK. 200/stud. med gyldigt årskort DKK. 50))
Luciakonert Spirekor.,"Gladsaxe Kirke, Gladsaxe Møllevej 43, Søborg","Wed 13 December 2017, 6 pm  - 6.45 pm.",
"Julekoncert med koret ""Ekko"".","Kingos Kirke, Bragesgade 35, Copenhagen N","Wed 13 December 2017, 6 pm  - 7 pm.",
Juloekoncert.,"Skelgårdskirken, Sindingvej 9, Kastrup","Wed 13 December 2017, 7 pm.",(Free admission)
Musikcafe i Sognets hus.,"Sognets Hus, Præstegårdsvej 4, Brøndby","Wed 13 December 2017, 7 pm.",(Free admission)
Julekoncert med Musikhøjskolen.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Wed 13 December 2017, 7 pm.",(Free admission)
Julekoncert med Musikhøjskolen.,"KU.BE, Dirch Passers Allé 4, Frederiksberg","Wed 13 December 2017, 7 pm.",(Free admission)
Händels Messias.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Wed 13 December 2017, 7 pm  - 8.30 pm.",
Luciaaften.,"Skelgårdskirken, Sindingvej 9, Kastrup","Wed 13 December 2017, 7 pm  - 9.30 pm.",
Debutkoncert - Wu Yan.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 13 December 2017, 7.30 pm.",(Free admission)
Kammermusikforeningen af 1911: Julekoncert m. Andreas Brantelid og Elisabeth Westenholz.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 13 December 2017, 7.30 pm.",(Entrance fee: ikke medlemmer 130 DKK.)
Julekoncert med Skovlundekoret.,"Skovlunde Kirke, Lundebjerggårdsvej 3 A, Skovlunde","Wed 13 December 2017, 7.30 pm  - 8.30 pm.",
Julekoncert med DVL Sangkoret.,"Husumvold Kirke, Gadelandet 25, Brønshøj","Wed 13 December 2017, 7.30 pm  - 10 pm.",
Janka Nabay & The Bubu Gang (SL/US).,"VEGA, Enghavevej 40, Copenhagen V","Wed 13 December 2017, 8 pm.",(Entrance fee)
Makiko Hirabayashi Trio.,"Templet, Jernbanevej 16, Kongens Lyngby","Wed 13 December 2017, 8 pm.",(Entrance fee: 50 - 100 DKK)
Julekoncert - kor og messing.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Wed 13 December 2017, 8 pm.",(Entrance fee: Standard 150 DKK)
Koncert med Paul Potts - udsolgt.,"Christians Kirke, Strandgade 1, Copenhagen K","Wed 13 December 2017, 8 pm  - 9 pm.",
Smif-N-Wessun med special guest Meyhem Lauren.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Wed 13 December 2017, 8.30 pm.",(Entrance fee: 149 DKK)
Johan Bylling Lang Organ Quintet.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Wed 13 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)
Julefest.,"Taastrup Idrætscenter, Parkvej 78, Taastrup","Wed 13 December 2017, 4 am.",
Jazz Lounge.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Thur 14 December 2017, 1 pm  - 4 pm.",(Free admission)
Julekoncert med kirkens kor.,"Skovlunde Kirke, Lundebjerggårdsvej 3 A, Skovlunde","Thur 14 December 2017, 5 pm  - 6 pm.",
Koncert med Marie Carmen Koppel.,"Christians Kirke, Strandgade 1, Copenhagen K","Thur 14 December 2017, 5 pm  - 6 pm.",
"Bent Fabricius-Bjerre og trioen ""De Græd"".","Restaurant Beghuset, Strandgade 14, Dragør","Thur 14 December 2017, 6 pm.","(Entrance fee: Kr 515,- inklusiv tapas)"
Julekoncert med Musica Ficta.,"Sankt Pauls Kirke, Sankt Pauls Plads, Copenhagen K","Thur 14 December 2017, 6 pm  - 8 pm.",
Julekoncert med skoleorkestre.,"Brøndby Musikskole, Tornehøj 1, Brøndby","Thur 14 December 2017, 6.30 pm.",(Free admission)
"Sankt Johannes Kirkes julekoncert med Kirkenskor, Saaby Børnekor og voksenkor samt TRUT.","Sankt Johannes Kirke, Blegdamsvej 1 A, Copenhagen N","Thur 14 December 2017, 7 pm.",(Free admission)
Sangaften med fremtidens stjerner på MGK.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Thur 14 December 2017, 7 pm.",(Free admission)
Julekoncert med Musikhøjskolen.,"Metronomen, Godthåbsvej 33, Frederiksberg","Thur 14 December 2017, 7 pm.",(Free admission)
Koncert: Visuel Virtuose med Farfars Tobak + Colours On Canvas // Talentscenen.,"Islands Brygge Bibliotek, Njalsgade 15, Copenhagen S","Thur 14 December 2017, 7 pm.",
Julekoncert.,"Mørkhøj Kirke, Mørkhøjvej 177, Søborg","Thur 14 December 2017, 7 pm  - 8 pm.",
Händels Messias.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Thur 14 December 2017, 7 pm  - 8.30 pm.",
Blue Covers' julekoncert.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Thur 14 December 2017, 7 pm  - 9 pm.",(Free admission)
Jul i viseforeningen.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 14 December 2017, 7 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
G-force jule- afslutningskoncert.,"Sankt Stefans Kirke, Nørrebrogade 191, Copenhagen N","Thur 14 December 2017, 7 pm  - 11 pm.",
Luisi & Beethovens 7.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 14 December 2017, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
High T Big Band og Malene Mortensen : Swinging Christmas.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Thur 14 December 2017, 7.30 pm.","(Entrance fee: 120,00 DKK)"
Julekoncert med Det Danske Drengekor.,"Helleruplund Kirke, Bernstorffsvej 73, Hellerup","Thur 14 December 2017, 7.30 pm  - 8.30 pm.",
Gospeljulekoncert.,"Rønnevang Kirke, Taastrup Hovedgade 150, Taastrup","Thur 14 December 2017, 7.30 pm  - 9 pm.",
Koncert med Green Valley Gospel.,"Grøndalskirken, Hulgårdsvej 2, Copenhagen NV","Thur 14 December 2017, 7.30 pm  - 10.15 pm.",
Julekoncerter 2017 / Concerto Copenhagen.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Thur 14 December 2017, 8 pm.",(Entrance fee: (Entré: DKK. 200/stud. med gyldigt årskort DKK. 50))
Peter Belli - Udsolgt!,"Hvidovre Medborgerhus, Hvidovrevej 280, Hvidovre","Thur 14 December 2017, 8 pm.",(Entrance fee: 175 DKK. inkl. gebyr)
ACT 25 at Montmartre: Leszek M.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 14 December 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)
Koncert med Marie Carmen Koppel.,"Christians Kirke, Strandgade 1, Copenhagen K","Thur 14 December 2017, 8 pm  - 9 pm.",
WonderBrazz feat Wafande.,"Karma Kajen, Børskaj 12, Copenhagen K","Thur 14 December 2017, 8.30 pm.",(Entrance fee: 200)
Karma Koncert: Wonderbrazz feat. Wafande.,"Karma Kajen, Børskaj 12, Copenhagen K","Thur 14 December 2017, 8.30 pm.","(Entrance fee: 180,00 dkk - 330,00 dkk)"
Modest (DK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Thur 14 December 2017, 9 pm.","(Entrance fee: 105,00 DKK)"
Jonah Blacksmith (dk) - Få Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Thur 14 December 2017, 9 pm.","(Entrance fee: 175,00 DKK)"
Flashbacks and Dedications.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Thur 14 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)
Klokkespilskoncert.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Fri 15 December 2017, 3 pm.",(Free admission)
"Hess/AC/Hess : ""Spacelab"" - with a touch of x-mas.","Jazzcup, Gothersgade 107, Copenhagen K","Fri 15 December 2017, 3.30 pm.","(Entrance fee: 120,-(100,-))"
December jazz.,"Tårnby Hovedbibliotek, Kamillevej 10, Kastrup","Fri 15 December 2017, 3.30 pm  - 5.30 pm.",(Free admission)
Fredagskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 15 December 2017, 4.30 pm  - 5.30 pm.",
Marie Carmen Koppel Julekoncert 2017.,"Christians Kirke, Strandgade 1, Copenhagen K","Fri 15 December 2017, 5 pm.",(Entrance fee: 235 DKK)
Advent III.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 15 December 2017, 5 pm.",(Free admission)
Adventskoncert med Bjørn Carl Nielsen og Jakob Keiding.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 15 December 2017, 5 pm  - 6 pm.",
Tivoli-gardens Julekoncert.,"Lindevang Kirke, Hattensens Allé 12, Frederiksberg","Fri 15 December 2017, 5 pm  - 6 pm.",
Julekoncert Lifekoret.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Fri 15 December 2017, 5.30 pm  - 6.30 pm.",
ZK og Moon - koncert.,"Karens Minde Kulturhusforening Cafe Karen, Wagnersvej 19, Copenhagen SV","Fri 15 December 2017, 7 pm.",
Julekoncert med Dopplers.,"Christianskirken, Christian X's Allé 122, Kongens Lyngby","Fri 15 December 2017, 7 pm  - 8.30 pm.",
Luisi & Beethovens 7.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 15 December 2017, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Cphphil Bachs Juleoratorium.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Fri 15 December 2017, 7.30 pm.",(Entrance fee: 190-360 DKK + evt. gebyr)
"Viseaften, "" Jul, jul, jul"".","Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Fri 15 December 2017, 7.30 pm.","(Entrance fee: medl. DKK.40,- gæster DKK.70,-)"
Gitte Degns Julepopkor.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 15 December 2017, 7.30 pm.",(Free admission)
"Viseaften v/ Visens Venner: Jul, jul, jul.","Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Fri 15 December 2017, 7.30 pm  - 10.30 pm.",(Entrance fee: 70 DKK.)
"Merry Christmas, Baby.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 15 December 2017, 8 pm.",
ACT 25 at Montmartre: Vincent P.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 15 December 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)
Marie Carmen Koppel Julekoncert 2017.,"Christians Kirke, Strandgade 1, Copenhagen K","Fri 15 December 2017, 8 pm.",(Entrance fee: 235 DKK)
Chimbos Revival.,"Skov Pub, Bybjergvej 6D, Skovlunde","Fri 15 December 2017, 8 pm.",(Free admission)
Peter Belli & Band - Ekstra!,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 15 December 2017, 8 pm.","(Entrance fee: 245,00 DKK)"
Amagerbro Jazz: Bévort 3.,"Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Fri 15 December 2017, 8 pm  - 9.30 pm.",(Entrance fee: 100/50)
Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 15 December 2017, 8.30 pm.",
Ibrahim Electric på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Fri 15 December 2017, 9 pm.",(Entrance fee: 135 DKK)
Johnny Horsepower - Cash Cover.,"Bartof Station, Solbjergvej 3, Frederiksberg","Fri 15 December 2017, 9 pm.",(Entrance fee)
2 x Rasmus og Søren.,"Værtshuset Pinden, Reventlowsgade 4, Copenhagen V","Fri 15 December 2017, 9 pm  - 1 am.",(Free admission)
Afro-Colombian Rave: El Leopardo & Ghetto Kumbé.,"Global Copenhagen, Nørre Allé 7, Copenhagen N","Fri 15 December 2017, 10 pm.",(Entrance fee: 120 DKK)
Rust Natklub.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 15 December 2017, 11 pm.",
Izzyy.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 15 December 2017, 11 pm.",
Hugo spiller julejazz i Farum Kulturhus.,"Farum Kulturhus, Stavnsholtvej 3, Farum","Sat 16 December 2017, 11.30 am.",(Free admission)
Orgelmatiné.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 16 December 2017, 12 am.",(Free admission)
Julekoncert 2017.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 16 December 2017, 1 pm.",
Jul med klaverelever.,"Brøndby Musikskole, Tornehøj 1, Brøndby","Sat 16 December 2017, 1.30 pm.",(Free admission)
Jul på Dansk.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 16 December 2017, 2 pm  & 5 pm.",(Entrance fee: 180 DKK. inkl. gebyr)
Egetoft Ebeltoft Kvartet  (with a touch of X-mas).,"Jazzcup, Gothersgade 107, Copenhagen K","Sat 16 December 2017, 2.30 pm.","(Entrance fee: 100,-(80,-))"
Julekoncert med Vokalgruppen kolorit.,"Lutherkirken, Randersgade 3, Copenhagen Ø","Sat 16 December 2017, 3 pm.",(Entrance fee: voksne: 50 Studerende: 30 Børn u. 15 gratis)
Det Ny Tonefilmsorkester.,"Galaksen, Bymidten 48, Værløse","Sat 16 December 2017, 3 pm.",(Entrance fee: 85 - 135 DKK)
Koret Facett synger julen ind i Sengeløse Kirke.,"Sengeløse Kirke, Landsbygaden 70, Sengeløse, Taastrup","Sat 16 December 2017, 3 pm.",(Free admission)
"Merry Christmas, Baby.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 16 December 2017, 4 pm.",
Carmen Culers´ julekoncert 2017.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Sat 16 December 2017, 4 pm.",(Entrance fee: 50 DKK.)
Nordlys og Jokers - Julekoncert.,"Kastrup Kirke, Kastruplundgade 3, Kastrup","Sat 16 December 2017, 4 pm  - 5 pm.",
Julekoncert.,"Hendriksholm Kirke, Damhus Boulevard 70, Rødovre","Sat 16 December 2017, 4 pm  - 5 pm.",
Julekoncert med Vox Absona.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 16 December 2017, 4 pm  - 5.30 pm.",
Bauer synger julen ind.,"Emdrup Kirke, Ved Vigen 7-9, Copenhagen NV","Sat 16 December 2017, 4 pm  - 6 pm.",
Sankt Annæ Pigekors Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 16 December 2017, 4.30 pm  - 5.30 pm.",
Chimbos Revival.,"Mac Donald's Pub, Nygårds Plads 2G, Brøndby","Sat 16 December 2017, 5 pm.",(Free admission)
Koncert med Anne Dorte Michelsen Trio.,"Christians Kirke, Strandgade 1, Copenhagen K","Sat 16 December 2017, 5 pm  - 6 pm.",
Thomas Dybdahl (no) - Få Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Sat 16 December 2017, 7 pm.","(Entrance fee: 295,00 DKK)"
Julekoncert i København med Lars Muhl & Githa Ben-David.,"Unitarernes Hus, Dag Hammarskjölds Allé 30, Copenhagen Ø","Sat 16 December 2017, 7 pm  - 9 pm.",(Entrance fee: 150)
Vinbar med tapas og live musik.," Cafe Delight ApS, Borups Alle 112, Frederiksberg","Sat 16 December 2017, 8 pm.",(Free admission)
"Sangbar Æ,Ø&Å - December.","Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K","Sat 16 December 2017, 8 pm.","(Entrance fee: 30,-)"
ACT 25 at Montmartre: Iiro Rantala.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 16 December 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)
Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 16 December 2017, 8.30 pm.",
X-Mas 2017: Debre Damo Dining Orchestra.,"Global Copenhagen, Nørre Allé 7, Copenhagen N","Sat 16 December 2017, 9 pm.",(Entrance fee: 80 DKK)
Honeymoon Disease (SE) + Support.,"Beta, Øresundsvej 6, Copenhagen S","Sat 16 December 2017, 9 pm.","(Entrance fee: 95,00 DKK)"
Soleima (DK) visuals by Dark Matters and Prxjects - UDSOLGT.,"VEGA, Enghavevej 40, Copenhagen V","Sat 16 December 2017, 9.30 pm.","(Entrance fee: 135,00 DKK)"
Somebody's coming.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Sat 16 December 2017, 10 pm.",(Entrance fee: 70)
Flavour.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 16 December 2017, 11 pm.",
"""Ni læsninger"" i Kastelskirken.","Kastelskirken, Kastellet 50, Copenhagen Ø","Sun 17 December 2017, 10 am.",(Free admission)
Anders & Katrine.,"Galaksen, Bymidten 48, Værløse","Sun 17 December 2017, 11 am.",(Entrance fee: 130 DKK)
Klassisk Julemusik og Julegodter!,"Baltoppen Bio 1-2, Baltorpvej 20, Ballerup","Sun 17 December 2017, 12 am.",(Entrance fee: 95 DKK)
DR PigeKorets jul.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 17 December 2017, 1 pm  & 4 pm.",
Julekoncert med Zone2s musikelever.,"Valby Kulturhus, Valgårdsvej 4-8, Valby","Sun 17 December 2017, 1 pm  - 3.30 pm.",(Entrance fee: 40 DKK. for voksne og 10 DKK. for børn.)
Anne Linnets Julekoncert.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Sun 17 December 2017, 2 pm.",
